AeroDyn airfoil file Created with QBlade CE v2.0.9.5_beta windows on 15.04.2026 at 11:36:24 Compatible with AeroDyn v13.0.
Polar "S1223_Re3.000_M0.00_N9.0 360 M" on Foil "S1223" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
15.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-9.98          Angle of attack for zero Cn for linear Cn curve (deg)
7.22725        Cn slope for zero lift for linear Cn curve (1/rad)
2.4064         Cn at stall value for positive angle of attack for linear Cn curve
-0.3793        Cn at stall value for negative angle of attack for linear Cn curve
-4.00          Angle of attack for minimum CD (deg)
0.0093         Minimum CD value
   146.000 -1.783712  0.563302 -0.634395
   147.000 -1.758244  0.534124 -0.627316
   148.000 -1.730653  0.505439 -0.619535
   149.000 -1.701034  0.477282 -0.611061
   150.000 -1.669490  0.449686 -0.601907
   151.000 -1.636133  0.422684 -0.592092
   152.000 -1.601083  0.396307 -0.581638
   153.000 -1.564473  0.370586 -0.570576
   154.000 -1.526448  0.345550 -0.558939
   155.000 -1.487172  0.321229 -0.546771
   156.000 -1.446824  0.297649 -0.534123
   157.000 -1.405612  0.274837 -0.521060
   158.000 -1.363777  0.252820 -0.507659
   159.000 -1.321602  0.231621 -0.494017
   160.000 -1.279430  0.211263 -0.480255
   161.000 -1.237689  0.191770 -0.466528
   162.000 -1.196915  0.173162 -0.453039
   163.000 -1.157802  0.155458 -0.440051
   164.000 -1.121250  0.138677 -0.427914
   165.000 -1.088425  0.122838 -0.417087
   166.000 -1.060785  0.107955 -0.408150
   167.000 -1.040000  0.094043 -0.401780
   168.000 -1.027542  0.081117 -0.398596
   169.000 -1.023607  0.069188 -0.398738
   170.000 -1.025066  0.058268 -0.401054
   171.000 -1.023315  0.048366 -0.402215
   172.000 -1.005298  0.039490 -0.397047
   173.000 -0.960530  0.031647 -0.381263
   174.000 -0.888698  0.024844 -0.354528
   175.000 -0.798495  0.019084 -0.320127
   176.000 -0.699915  0.014371 -0.281963
   177.000 -0.599091  0.010706 -0.242473
   178.000 -0.498071  0.008090 -0.202489
   179.000 -0.397052  0.006522 -0.162105
   180.000 -0.296032  0.006000 -0.121335
   180.000 -0.296032  0.006001 -0.121335
